movieId,title,genres,title_clean,genres_text,tags_text,profile_text
376,"River Wild, The (1994)",Action|Thriller,"river wild, the (1994)",action thriller,bank robber birthday boat boston child in peril clv criminal curtis hanson dogs family bonds father-son relationship hostage hostage-taking husband-wife relationship idaho kevin bacon marriage crisis meryl streep on dvr rafting rapids river robber scenic see: deliverance swimming vacation water white water rafting wilderness,"river wild, the (1994) action thriller bank robber birthday boat boston child in peril clv criminal curtis hanson dogs family bonds father-son relationship hostage hostage-taking husband-wife relationship idaho kevin bacon marriage crisis meryl streep on dvr rafting rapids river robber scenic see: deliverance swimming vacation water white water rafting wilderness"
377,Speed (1994),Action|Romance|Thriller,speed (1994),action romance thriller,action action packed afi 100 (thrills) airport bechdel test:fail blasphemous bomb bomb planting boring bus bus ride chase claustrophobic clv dennis hopper don't get dead exciting explosions fast paced forceful foul language fran full of adrenaline. a must watch heart pumping movie good acting good action highway injuries intense jan de bont keanu reaves keanu reeves predictable predictable plot romance romantic rousing sandra bullock seen at the cinema seen more than once shallow plot should not like space opera speed suspense tense thriller visceral want want it watch with kids wooden acting writer: graham yost,speed (1994) action romance thriller action action packed afi 100 (thrills) airport bechdel test:fail blasphemous bomb bomb planting boring bus bus ride chase claustrophobic clv dennis hopper don't get dead exciting explosions fast paced forceful foul language fran full of adrenaline. a must watch heart pumping movie good acting good action highway injuries intense jan de bont keanu reaves keanu reeves predictable predictable plot romance romantic rousing sandra bullock seen at the cinema seen more than once shallow plot should not like space opera speed suspense tense thriller visceral want want it watch with kids wooden acting writer: graham yost
378,Speechless (1994),Comedy|Romance,speechless (1994),comedy romance,charming clv love politics prospect preferred speech writer whimsical,speechless (1994) comedy romance charming clv love politics prospect preferred speech writer whimsical
379,Timecop (1994),Action|Sci-Fi|Thriller,timecop (1994),action sci-fi thriller,alternative reality can't remember clv futuristmovies.com jean claude van damme jean-claude van damme martial arts mia sara muscles from brussels nudity (full frontal) peter hyams plot holes science fiction time paradox time travel time-travel,timecop (1994) action sci-fi thriller alternative reality can't remember clv futuristmovies.com jean claude van damme jean-claude van damme martial arts mia sara muscles from brussels nudity (full frontal) peter hyams plot holes science fiction time paradox time travel time-travel
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,true lies (1994),action adventure comedy romance thriller,1 70mm action arnold arnold schwarzenegger bill paxton buddy clv comedy decent thiller director: james cameron double life eliza dushku espionage explodeytime family florida florida keys foqam fran funny funny as hell gadget car gun horseback riding jackhammer james cameron jamie lee curtis key west kidnapping living a fictional life marriage mundane characters mushroom cloud music not ridiculous enough quirky racism ridiculous schwarzenegger secret agent seen at the cinema seen more than once shallow plot special agent special effects spies spy stereotyping striptease super-35 blow-up terrorism terrorist terrorist plot theme:lying thong thriller tia carrere tom arnold top secret truth serum téa leoni does not star in this movie violence want writer: claude zidi writer: simon michaël,true lies (1994) action adventure comedy romance thriller 1 70mm action arnold arnold schwarzenegger bill paxton buddy clv comedy decent thiller director: james cameron double life eliza dushku espionage explodeytime family florida florida keys foqam fran funny funny as hell gadget car gun horseback riding jackhammer james cameron jamie lee curtis key west kidnapping living a fictional life marriage mundane characters mushroom cloud music not ridiculous enough quirky racism ridiculous schwarzenegger secret agent seen at the cinema seen more than once shallow plot special agent special effects spies spy stereotyping striptease super-35 blow-up terrorism terrorist terrorist plot theme:lying thong thriller tia carrere tom arnold top secret truth serum téa leoni does not star in this movie violence want writer: claude zidi writer: simon michaël
381,When a Man Loves a Woman (1994),Drama|Romance,when a man loves a woman (1994),drama romance,a list addiction alcoholic alcoholism andy garcia co-dependancy drinking family like-i-like top pick love love story meg ryan new love philip seymour hoffman therapy touching wife husband relationship,when a man loves a woman (1994) drama romance a list addiction alcoholic alcoholism andy garcia co-dependancy drinking family like-i-like top pick love love story meg ryan new love philip seymour hoffman therapy touching wife husband relationship
382,Wolf (1994),Drama|Horror|Romance|Thriller,wolf (1994),drama horror romance thriller,adultery bite blood can't remember classic clv david schwimmer deer drama gothic heal horror jack nicholson james spader killer-as-protagonist michelle pfeiffer mike nichols monkey-man looking werewolf new york publisher revenge romance vermont werewolf werewolves,wolf (1994) drama horror romance thriller adultery bite blood can't remember classic clv david schwimmer deer drama gothic heal horror jack nicholson james spader killer-as-protagonist michelle pfeiffer mike nichols monkey-man looking werewolf new york publisher revenge romance vermont werewolf werewolves
383,Wyatt Earp (1994),Western,wyatt earp (1994),western,a list biography can't remember clv dennis quaid deputy sheriff doc holliday gambling gene hackman golden raspberry (worst actor) gunslinger historical historical figure kevin costner nudity (topless - brief) sheriff western wretch wyatt earp,wyatt earp (1994) western a list biography can't remember clv dennis quaid deputy sheriff doc holliday gambling gene hackman golden raspberry (worst actor) gunslinger historical historical figure kevin costner nudity (topless - brief) sheriff western wretch wyatt earp
384,Bad Company (1995),Action|Crime|Drama,bad company (1995),action crime drama,action blackmail cia crime entirely dialogue intelligent judge thriller,bad company (1995) action crime drama action blackmail cia crime entirely dialogue intelligent judge thriller
385,"Man of No Importance, A (1994)",Drama,"man of no importance, a (1994)",drama,dublin friendship gay ireland middle age suri krishnamma theater,"man of no importance, a (1994) drama dublin friendship gay ireland middle age suri krishnamma theater"
386,S.F.W. (1994),Drama,s.f.w. (1994),drama,celebrity escape homecoming hospital hostage loss of loved one masked man media popularity teenage girl teenager tragic event tv news tv show,s.f.w. (1994) drama celebrity escape homecoming hospital hostage loss of loved one masked man media popularity teenage girl teenager tragic event tv news tv show
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,"low down dirty shame, a (1994)",action comedy,blast clv drug crime drugs fbi private detective violence,"low down dirty shame, a (1994) action comedy blast clv drug crime drugs fbi private detective violence"
388,Boys Life (1995),Drama,boys life (1995),drama,brian sloan gay raoul o'connell robert lee king,boys life (1995) drama brian sloan gay raoul o'connell robert lee king
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,"colonel chabert, le (1994)",drama romance war,gerard depardieu gérard depardieu law court period piece yves angelo,"colonel chabert, le (1994) drama romance war gerard depardieu gérard depardieu law court period piece yves angelo"
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,faster pussycat! kill! kill! (1965),action crime drama,1960s atmospheric b movie camp campy cars cult classic cult film desert dvd dvd-r eroticism exploitation go-go dancer hallucinatory independent film irreverent kidnapping killing lesbian character lurid murder oop quotable raunchy rock n' roll russ meyer sexploitation sexual sports car sven's to see list trashy tura satana,faster pussycat! kill! kill! (1965) action crime drama 1960s atmospheric b movie camp campy cars cult classic cult film desert dvd dvd-r eroticism exploitation go-go dancer hallucinatory independent film irreverent kidnapping killing lesbian character lurid murder oop quotable raunchy rock n' roll russ meyer sexploitation sexual sports car sven's to see list trashy tura satana
391,Jason's Lyric (1994),Crime|Drama,jason's lyric (1994),crime drama,clv family relationships fear gospel singer nude black women nudity (topless) relationship,jason's lyric (1994) crime drama clv family relationships fear gospel singer nude black women nudity (topless) relationship
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,"secret adventures of tom thumb, the (1993)",adventure animation,stop motion to see,"secret adventures of tom thumb, the (1993) adventure animation stop motion to see"
393,Street Fighter (1994),Action|Adventure|Fantasy,street fighter (1994),action adventure fantasy,90s action adapted from:game based on a video game based on video game camp campy clv contest dictator easily confused with other movie(s) (title) esperanto everything is bad about this movie. fighting horrid cast hostage hostage-taking jean-claude van damme kylie minogue liberation of hostage martial arts military no rec? nostalgia critic nostalgic over-the-top action really bad ridiculous characters steven e. de souza street fighter stylized united nations video game video game adaptation war,street fighter (1994) action adventure fantasy 90s action adapted from:game based on a video game based on video game camp campy clv contest dictator easily confused with other movie(s) (title) esperanto everything is bad about this movie. fighting horrid cast hostage hostage-taking jean-claude van damme kylie minogue liberation of hostage martial arts military no rec? nostalgia critic nostalgic over-the-top action really bad ridiculous characters steven e. de souza street fighter stylized united nations video game video game adaptation war
394,Coldblooded (1995),Comedy,coldblooded (1995),comedy,basement blood blood splatter hitman jason priestley less than 300 ratings murder underrated wound yoga,coldblooded (1995) comedy basement blood blood splatter hitman jason priestley less than 300 ratings murder underrated wound yoga
395,Desert Winds (1995),Drama|Fantasy|Romance,desert winds (1995),drama fantasy romance,less than 300 ratings not at library,desert winds (1995) drama fantasy romance less than 300 ratings not at library
396,Fall Time (1995),Drama,fall time (1995),drama,bank robbery independent film prank,fall time (1995) drama bank robbery independent film prank
397,"Fear, The (1995)",Horror,"fear, the (1995)",horror,b movie cult film mannequin supernatural wood,"fear, the (1995) horror b movie cult film mannequin supernatural wood"
398,Frank and Ollie (1995),Documentary,frank and ollie (1995),documentary,animation filmmaking dvd-video,frank and ollie (1995) documentary animation filmmaking dvd-video
399,Girl in the Cadillac (1995),Drama,girl in the cadillac (1995),drama,bank bus station cadillac money robbery,girl in the cadillac (1995) drama bank bus station cadillac money robbery
400,Homage (1995),Drama,homage (1995),drama,fatal attraction obsession tragic event widow,homage (1995) drama fatal attraction obsession tragic event widow
401,Mirage (1995),Action|Thriller,mirage (1995),action thriller,,mirage (1995) action thriller
402,Open Season (1996),Comedy,open season (1996),comedy,satire television,open season (1996) comedy satire television
403,Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama,two crimes (dos crímenes) (1995),comedy crime drama,mexican,two crimes (dos crímenes) (1995) comedy crime drama mexican
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,brother minister: the assassination of malcolm x (1994),documentary,malcolm x politics,brother minister: the assassination of malcolm x (1994) documentary malcolm x politics
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,highlander iii: the sorcerer (a.k.a. highlander: the final dimension) (1994),action fantasy,clv crappy sequel franchise good and bad immortality immortals japan mako morocco new york nudity (full frontal) scotland sequel sword fight want,highlander iii: the sorcerer (a.k.a. highlander: the final dimension) (1994) action fantasy clv crappy sequel franchise good and bad immortality immortals japan mako morocco new york nudity (full frontal) scotland sequel sword fight want
406,Federal Hill (1994),Drama,federal hill (1994),drama,,federal hill (1994) drama
407,In the Mouth of Madness (1995),Horror|Thriller,in the mouth of madness (1995),horror thriller,"6,5-filmaffinity asylum author bd-r church crucifix diner director: john carpenter disappearance frances bay ghost town gothic h.p. lovecraft horror novel horror writer insane asylum insanity insurance investigator john carpenter julie carmen jurgen prochnow jürgen prochnow lovecraft lovecraftian lovecraftian mythology meta-movie metafiction new england new hampshire nightmare paranoia perception protagonist is writer publisher sam neill slow investigative build small town suspense violence","in the mouth of madness (1995) horror thriller 6,5-filmaffinity asylum author bd-r church crucifix diner director: john carpenter disappearance frances bay ghost town gothic h.p. lovecraft horror novel horror writer insane asylum insanity insurance investigator john carpenter julie carmen jurgen prochnow jürgen prochnow lovecraft lovecraftian lovecraftian mythology meta-movie metafiction new england new hampshire nightmare paranoia perception protagonist is writer publisher sam neill slow investigative build small town suspense violence"
408,8 Seconds (1994),Drama,8 seconds (1994),drama,bull riding cowboy independent film luke perry rodeo sg,8 seconds (1994) drama bull riding cowboy independent film luke perry rodeo sg
409,Above the Rim (1994),Crime|Drama,above the rim (1994),crime drama,basketball sport sports tupac shakur,above the rim (1994) crime drama basketball sport sports tupac shakur
410,Addams Family Values (1993),Children|Comedy|Fantasy,addams family values (1993),children comedy fantasy,1990s adapted from:comic adapted from:tv show adolescence anjelica huston baby barry sonnenfeld based on a tv show bittersweet black comedy black humor black sheep black widow butler christina ricci christopher lloyd clv comedy comics coming of age creepy dark comedy family fortune goth gothic guillotine halloween honey pot imposter jealousy joan cusack macabre mature kids moral ambiguity morally counterintuitive morbid comedy nanny quirky raul julia rewatch seduction sequel setting:summer camp sibling relationship silly spoof stupid summer camp sweet uncle yuppie,addams family values (1993) children comedy fantasy 1990s adapted from:comic adapted from:tv show adolescence anjelica huston baby barry sonnenfeld based on a tv show bittersweet black comedy black humor black sheep black widow butler christina ricci christopher lloyd clv comedy comics coming of age creepy dark comedy family fortune goth gothic guillotine halloween honey pot imposter jealousy joan cusack macabre mature kids moral ambiguity morally counterintuitive morbid comedy nanny quirky raul julia rewatch seduction sequel setting:summer camp sibling relationship silly spoof stupid summer camp sweet uncle yuppie
411,Martin Lawrence: You So Crazy (1994),Comedy|Documentary,martin lawrence: you so crazy (1994),comedy documentary,stand-up comedy,martin lawrence: you so crazy (1994) comedy documentary stand-up comedy
412,"Age of Innocence, The (1993)",Drama,"age of innocence, the (1993)",drama,100 essential female performances 1800s 1870s 19th century adapted from:book author:edith wharton based on a book bd-r book costume drama countess criterion daniel day-lewis drama dull edith wharton edwardian epoque family geraldine chapman great performances high society historical infidelity lawyer love triangle lover martin scorsese michelle pfeiffer new york new york city on dvr period piece playlist rhode island richard e. grant society tumey's dvds upper class wealth winona ryder,"age of innocence, the (1993) drama 100 essential female performances 1800s 1870s 19th century adapted from:book author:edith wharton based on a book bd-r book costume drama countess criterion daniel day-lewis drama dull edith wharton edwardian epoque family geraldine chapman great performances high society historical infidelity lawyer love triangle lover martin scorsese michelle pfeiffer new york new york city on dvr period piece playlist rhode island richard e. grant society tumey's dvds upper class wealth winona ryder"
413,Airheads (1994),Comedy,airheads (1994),comedy,comedy crap cult film f fraser heavy metal hostage michael lehmann radio station rewatch ridiculous training sequence rock and roll rock band silly but good snl alums solid comedy waste of time,airheads (1994) comedy comedy crap cult film f fraser heavy metal hostage michael lehmann radio station rewatch ridiculous training sequence rock and roll rock band silly but good snl alums solid comedy waste of time
414,"Air Up There, The (1994)",Comedy,"air up there, the (1994)",comedy,africa basketball basketball in african villiage college basketball comedy funny great writing kevin bacon life lessons learned..through humor. paul michael glaser sleeper movie sport sports to see: kites for kiddos unique,"air up there, the (1994) comedy africa basketball basketball in african villiage college basketball comedy funny great writing kevin bacon life lessons learned..through humor. paul michael glaser sleeper movie sport sports to see: kites for kiddos unique"
415,Another Stakeout (1993),Comedy|Thriller,another stakeout (1993),comedy thriller,can't remember cops gangster police stakeout staatsanwältin stakeout,another stakeout (1993) comedy thriller can't remember cops gangster police stakeout staatsanwältin stakeout
416,Bad Girls (1994),Western,bad girls (1994),western,andie macdowell blonde woman clv drew barrymore fast draw gun fu mary stuart masterson nudity (topless) pistol duel repetitive revenge small western town tough  girl wild west,bad girls (1994) western andie macdowell blonde woman clv drew barrymore fast draw gun fu mary stuart masterson nudity (topless) pistol duel repetitive revenge small western town tough girl wild west
417,Barcelona (1994),Comedy|Romance,barcelona (1994),comedy romance,1980's american expatriates barcelona barcelona spain bd-r cerebral charming chris eigeman classy criterion culture dialogue dialogue driven drama drawing room europe expatriates independent film mira sorvino navy pep munne pg13 quotable quotable dialogue sophisticated spain stylized taylor nichols tushka bergen watch whit stillman,barcelona (1994) comedy romance 1980's american expatriates barcelona barcelona spain bd-r cerebral charming chris eigeman classy criterion culture dialogue dialogue driven drama drawing room europe expatriates independent film mira sorvino navy pep munne pg13 quotable quotable dialogue sophisticated spain stylized taylor nichols tushka bergen watch whit stillman
418,Being Human (1993),Drama,being human (1993),drama,medieval times special struggle success,being human (1993) drama medieval times special struggle success
419,"Beverly Hillbillies, The (1993)",Comedy,"beverly hillbillies, the (1993)",comedy,arkansas based on a tv show based on tv series beverly hills billionaire classic remake funny hillbillies hillbilly oil penelope spheeris television tv show woman director,"beverly hillbillies, the (1993) comedy arkansas based on a tv show based on tv series beverly hills billionaire classic remake funny hillbillies hillbilly oil penelope spheeris television tv show woman director"
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,beverly hills cop iii (1994),action comedy crime thriller,amusement park beverly hills buddy comedy car chase carousel clv comedy counterfeit detective dirty cop eddie murphy explosion foot chase framed funny gunfight investigation john landis let the other two beverly hills cops down los angeles no_fa_ganes police rescue roller coaster secret service security camera sequel sequel fever shootout stephen mchattie undercover violence weapon,beverly hills cop iii (1994) action comedy crime thriller amusement park beverly hills buddy comedy car chase carousel clv comedy counterfeit detective dirty cop eddie murphy explosion foot chase framed funny gunfight investigation john landis let the other two beverly hills cops down los angeles no_fa_ganes police rescue roller coaster secret service security camera sequel sequel fever shootout stephen mchattie undercover violence weapon
421,Black Beauty (1994),Adventure|Children|Drama,black beauty (1994),adventure children drama,animal:horse country life horse sean bean lives woman director,black beauty (1994) adventure children drama animal:horse country life horse sean bean lives woman director
422,Blink (1994),Thriller,blink (1994),thriller,blindness clv disability killer nudity (topless - brief) nudity (topless) thriller,blink (1994) thriller blindness clv disability killer nudity (topless - brief) nudity (topless) thriller
423,Blown Away (1994),Action|Thriller,blown away (1994),action thriller,action anarchist bad accents belfast blast bomb attack bomb disposal bomb planting bomb specialist bomb squad boston capsized ship clv computer concert easily confused with other movie(s) (title) explosion false identity fireworks flashback forest whitaker headphones hero human bomb irish irish accent jeff bridges nonsense orchestra pacing redemption revenge roulette wheel schlock terrorist tommy lee jones violence wedding writing,blown away (1994) action thriller action anarchist bad accents belfast blast bomb attack bomb disposal bomb planting bomb specialist bomb squad boston capsized ship clv computer concert easily confused with other movie(s) (title) explosion false identity fireworks flashback forest whitaker headphones hero human bomb irish irish accent jeff bridges nonsense orchestra pacing redemption revenge roulette wheel schlock terrorist tommy lee jones violence wedding writing
424,Blue Chips (1994),Drama,blue chips (1994),drama,basketball clv college college basketball shaquille o'neal sport sports william friedkin,blue chips (1994) drama basketball clv college college basketball shaquille o'neal sport sports william friedkin
425,Blue Sky (1994),Drama|Romance,blue sky (1994),drama romance,affective disorder amazon dvd-video dysfunctional marriage history mental illness nuclear missile nymphomaniac oscar (best actress) prospect preferred tommy lee jones tony richardson,blue sky (1994) drama romance affective disorder amazon dvd-video dysfunctional marriage history mental illness nuclear missile nymphomaniac oscar (best actress) prospect preferred tommy lee jones tony richardson
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,body snatchers (1993),horror sci-fi thriller,alien alien infection alien invasion aliens cinematographer:bojan bazelli distrust doppelgangers doppelgänger emotionless escape evil twin forest whitaker impersonation impostor military base nudity nudity (topless - notable) nudity (topless) remake sleeping soldier vhs,body snatchers (1993) horror sci-fi thriller alien alien infection alien invasion aliens cinematographer:bojan bazelli distrust doppelgangers doppelgänger emotionless escape evil twin forest whitaker impersonation impostor military base nudity nudity (topless - notable) nudity (topless) remake sleeping soldier vhs
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,boxing helena (1993),drama mystery romance thriller,80s bizarre captivity car accident doctor doctors dream dvd-video erotic thriller horror kidnapping nudity (topless - notable) nudity (topless) obsession obsessive love sexual assault skipped this sick story surgeon suspense unrequited love woman director,boxing helena (1993) drama mystery romance thriller 80s bizarre captivity car accident doctor doctors dream dvd-video erotic thriller horror kidnapping nudity (topless - notable) nudity (topless) obsession obsessive love sexual assault skipped this sick story surgeon suspense unrequited love woman director
428,"Bronx Tale, A (1993)",Drama,"bronx tale, a (1993)",drama,1960s al pacino bechdel test:fail best friend bibliothek bikers black people bus driver clv coffee cake coming of age dad de ses pitjors de mafia deniro directorial debut extreme violence father figure father-son relationship first love funeral gambling game of dice gang leader gangster gangsters great movie hoodlum interracial relationship italian italian american loyalty mafia molotow cocktail new york nostalgia organized crime parent child relationship peer presssure robert de niro un poc criticada usa witness to murder xenophobia,"bronx tale, a (1993) drama 1960s al pacino bechdel test:fail best friend bibliothek bikers black people bus driver clv coffee cake coming of age dad de ses pitjors de mafia deniro directorial debut extreme violence father figure father-son relationship first love funeral gambling game of dice gang leader gangster gangsters great movie hoodlum interracial relationship italian italian american loyalty mafia molotow cocktail new york nostalgia organized crime parent child relationship peer presssure robert de niro un poc criticada usa witness to murder xenophobia"
429,Cabin Boy (1994),Comedy,cabin boy (1994),comedy,adam resnick,cabin boy (1994) comedy adam resnick
430,Calendar Girl (1993),Comedy|Drama,calendar girl (1993),comedy drama,beach calendar california coming of age diner hollywood john whitesell marijuana movie star narration nostalgia party radio stalking summer tattoo teen,calendar girl (1993) comedy drama beach calendar california coming of age diner hollywood john whitesell marijuana movie star narration nostalgia party radio stalking summer tattoo teen
431,Carlito's Way (1993),Crime|Drama,carlito's way (1993),crime drama,1970s 21.03.06 adrian pasdar al pacino bibliothek brian de palma btaege clv crime criminal past dialogue director: brian de palma disco drugs gangster gangsters guns historical jinni top pick john leguizamo john ortiz jorge porcel love luis guzmán mafia night club no_fa_ganes nudity (topless) on dvr one of pacinos best organized crime penelope ann miller perrot library prison puerto rican r redemption release from prison romance sad sean penn seen suspense cut too long trains tumey's vhs viggo mortensen vintage violence well written white washing writer: david koepp writer: edwin torres ángel salazar,carlito's way (1993) crime drama 1970s 21.03.06 adrian pasdar al pacino bibliothek brian de palma btaege clv crime criminal past dialogue director: brian de palma disco drugs gangster gangsters guns historical jinni top pick john leguizamo john ortiz jorge porcel love luis guzmán mafia night club no_fa_ganes nudity (topless) on dvr one of pacinos best organized crime penelope ann miller perrot library prison puerto rican r redemption release from prison romance sad sean penn seen suspense cut too long trains tumey's vhs viggo mortensen vintage violence well written white washing writer: david koepp writer: edwin torres ángel salazar
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,city slickers ii: the legend of curly's gold (1994),adventure comedy western,billy crystal birthday cowboy daniel stern friendship bracelet gold gold bar jack palance jon lovitz lame nevada no_fa_ganes paul weiland sequel treasure hunt,city slickers ii: the legend of curly's gold (1994) adventure comedy western billy crystal birthday cowboy daniel stern friendship bracelet gold gold bar jack palance jon lovitz lame nevada no_fa_ganes paul weiland sequel treasure hunt
433,Clean Slate (1994),Comedy,clean slate (1994),comedy,best comedy of '90 mick jackson short-term memory loss,clean slate (1994) comedy best comedy of '90 mick jackson short-term memory loss
434,Cliffhanger (1993),Action|Adventure|Thriller,cliffhanger (1993),action adventure thriller,70mm action action packed airplane anamorphic blow-up climbing clint eastwood clv colorado director: renny harlin ei muista explosions good action harlin heist hero kills a woman hijacking john lithgow kickass action flick money mountain mountain climbing mountains prospect preferred remember from childhood renny harlin rocky mountains sexist snow suitcase sylvester stallone thriller watch-fully wintry writer: john long writer: michael france writer: sylvester stallone,cliffhanger (1993) action adventure thriller 70mm action action packed airplane anamorphic blow-up climbing clint eastwood clv colorado director: renny harlin ei muista explosions good action harlin heist hero kills a woman hijacking john lithgow kickass action flick money mountain mountain climbing mountains prospect preferred remember from childhood renny harlin rocky mountains sexist snow suitcase sylvester stallone thriller watch-fully wintry writer: john long writer: michael france writer: sylvester stallone
435,Coneheads (1993),Comedy|Sci-Fi,coneheads (1993),comedy sci-fi,alien invasion alien life-form aliens based on a tv show clv coen brothers dan akroyd dan aykroyd extraterrestrial technology itaege saturday night live seen snl space invasion steve barron stupid,coneheads (1993) comedy sci-fi alien invasion alien life-form aliens based on a tv show clv coen brothers dan akroyd dan aykroyd extraterrestrial technology itaege saturday night live seen snl space invasion steve barron stupid
436,Color of Night (1994),Drama|Thriller,color of night (1994),drama thriller,brad dourif bruce willis california car chase clv color blindness disguise erotic eroticism female nudity golden raspberry (worst picture) grief group therapy lesley ann warren male nudity mental illness nudity (full frontal - notable) nudity (full frontal) obsessive compulsive disorder paranoia psychiatrist psychology secret identity serial killer sex sex scenes split personality therapist therapy torrential downpour violence voyeurism,color of night (1994) drama thriller brad dourif bruce willis california car chase clv color blindness disguise erotic eroticism female nudity golden raspberry (worst picture) grief group therapy lesley ann warren male nudity mental illness nudity (full frontal - notable) nudity (full frontal) obsessive compulsive disorder paranoia psychiatrist psychology secret identity serial killer sex sex scenes split personality therapist therapy torrential downpour violence voyeurism
437,Cops and Robbersons (1994),Comedy,cops and robbersons (1994),comedy,chevy chase infra red jumper cable michael ritchie photo album epilogue rude waiter sitcom winging into a wall,cops and robbersons (1994) comedy chevy chase infra red jumper cable michael ritchie photo album epilogue rude waiter sitcom winging into a wall
438,"Cowboy Way, The (1994)",Action|Comedy|Drama,"cowboy way, the (1994)",action comedy drama,cowboy gregg champion,"cowboy way, the (1994) action comedy drama cowboy gregg champion"
439,Dangerous Game (1993),Drama,dangerous game (1993),drama,divorce drugs filmmaking independent film psychological drama,dangerous game (1993) drama divorce drugs filmmaking independent film psychological drama
440,Dave (1993),Comedy|Romance,dave (1993),comedy romance,a presidential look-alike takes over as commander in chief and uses his time in office to work for ordinary people. apoplectic stroke be satisfied with your life little man chick flick clv coma comedy conspiracy theory decent to see once director: ivan reitman doppelgänger fantasy frank langella ivan reitman kevin dunn kevin kline laura linney light multiple roles no_fa_ganes politics predictible president romance sigourney weaver soundtrack: james newton howard unfunny unsubtle us president usa president ving rhames white house writer: gary ross,dave (1993) comedy romance a presidential look-alike takes over as commander in chief and uses his time in office to work for ordinary people. apoplectic stroke be satisfied with your life little man chick flick clv coma comedy conspiracy theory decent to see once director: ivan reitman doppelgänger fantasy frank langella ivan reitman kevin dunn kevin kline laura linney light multiple roles no_fa_ganes politics predictible president romance sigourney weaver soundtrack: james newton howard unfunny unsubtle us president usa president ving rhames white house writer: gary ross
441,Dazed and Confused (1993),Comedy,dazed and confused (1993),comedy,1970s adolescence affectionate american culture american graffiti light anthony rapp austin ben affleck bullying cheerleading clv coming of age criterion deadpan drugs easygoing ensemble cast fun geeks great soundtrack hangout high school high school life highly quotable improvised irreverent linklater films livin marijuana matthew mcconaughey milla jovovich nostalgic notable cast one day owned party film peer pressure period drama period piece quirky richard linklater rory cochrane small town summer teen teenager texas tx weed wired 50 greatest soundtracks,dazed and confused (1993) comedy 1970s adolescence affectionate american culture american graffiti light anthony rapp austin ben affleck bullying cheerleading clv coming of age criterion deadpan drugs easygoing ensemble cast fun geeks great soundtrack hangout high school high school life highly quotable improvised irreverent linklater films livin marijuana matthew mcconaughey milla jovovich nostalgic notable cast one day owned party film peer pressure period drama period piece quirky richard linklater rory cochrane small town summer teen teenager texas tx weed wired 50 greatest soundtracks
442,Demolition Man (1993),Action|Adventure|Sci-Fi,demolition man (1993),action adventure sci-fi,action action groovy benjamin bratt betrayal business is the antagonist can't remember car chase censorship cheesy clv comedy crime fighter cryogenics cryonics cryonics is not time travel culture shock cyberpunk denis leary dumb dystopia dystopia explosion fistfight foot chase fran funny future futuristic futuristmovies.com good action helicopter hilarious knitting law enforcement los angeles marco brambilla martial arts museum on tv all the time owned police prison escape prophetic psychopath sandra bullock satire sci-fi seen at the cinema serial killer shootout social control sociopath subterranean sylvester stallone taco bell technology time travel utopia violence warden wesley snipes,demolition man (1993) action adventure sci-fi action action groovy benjamin bratt betrayal business is the antagonist can't remember car chase censorship cheesy clv comedy crime fighter cryogenics cryonics cryonics is not time travel culture shock cyberpunk denis leary dumb dystopia dystopia explosion fistfight foot chase fran funny future futuristic futuristmovies.com good action helicopter hilarious knitting law enforcement los angeles marco brambilla martial arts museum on tv all the time owned police prison escape prophetic psychopath sandra bullock satire sci-fi seen at the cinema serial killer shootout social control sociopath subterranean sylvester stallone taco bell technology time travel utopia violence warden wesley snipes
443,"Endless Summer 2, The (1994)",Adventure|Documentary,"endless summer 2, the (1994)",adventure documentary,documentary surfing,"endless summer 2, the (1994) adventure documentary documentary surfing"
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,even cowgirls get the blues (1993),comedy romance,based on a book cowgirl hitchhiking lbgt lesbian lgbt nudity (full frontal - brief) queer transvestism uma thurman,even cowgirls get the blues (1993) comedy romance based on a book cowgirl hitchhiking lbgt lesbian lgbt nudity (full frontal - brief) queer transvestism uma thurman
445,Fatal Instinct (1993),Comedy,fatal instinct (1993),comedy,carl reiner parody private detective spoof,fatal instinct (1993) comedy carl reiner parody private detective spoof
